Metabolite name	Metabolite description	Formula	Charge			
dag_hs_18_0_18_1[c]	diacylglycerol (homo sapiens) cytosol	C3H6OFULLRCO2FULLR2CO2	0			
cbp[m]	Carbamoyl phosphate mitochondria	CH2NO5P	-2			
h2o[r]	H2O ER	H2O	0			
o2s[e]	Superoxide anion extracellular	O2	-1			
pe_hs_18_2_20_4[c]	phosphatidylethanolamine (homo sapiens) cytosol	C5H12NO4PFULLRCO2FULLR2CO2	0			
h2o[c]	H2O cytosol	H2O	0			
arachdcrn[m]	C20:4 carnitine mitochondria	C27H45NO4	0			
h2o[e]	H2O extracellular	H2O	0			
5aizc[c]	5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate cytosol	C9H11N3O9P	-3			
h2o2[x]	Hydrogen peroxide peroxisome	H2O2	0			
pail4p_hs_18_0_18_0[c]	1-Phosphatidyl-1D-myo-inositol 4-phosphate (Homo sapiens) cytosol	C9H15O12P2FULLRCO2FULLR2CO2	0			
h2o[m]	H2O mitochondria	H2O	0			
56dura[c]	"5,6-dihydrouracil cytosol"	C4H6N2O2	0			
phaccoa[c]	Phenylacetyl-CoA cytosol	C29H38N7O17P3S	-4			
h2o2[c]	Hydrogen peroxide cytosol	H2O2	0			
lald_L[c]	L-Lactaldehyde cytosol	C3H6O2	0			
camp[c]	cAMP cytosol	C10H11N5O6P	-1			
pa_hs_18_1_18_1[c]	phosphatidic acid (homo sapiens) cytosol	C3H5O4PFULLRCO2FULLR2CO2	0			
h2o2[e]	Hydrogen peroxide extracellular	H2O2	0			
h2o[x]	H2O peroxisome	H2O	0			
h2o2[m]	Hydrogen peroxide mitochondria	H2O2	0			
ps_hs_18_2_18_2[c]	phosphatidylserine (homo sapiens) cytosol	C6H11NO6PFULLRCO2FULLR2CO2	0			
spc_hs[c]	sphingosylphosphorylcholine (homo sapiens) cytosol	C23H50N2O5P	1			
spc_hs[e]	sphingosylphosphorylcholine (homo sapiens) extracellular	C23H50N2O5P	1			
pmtcrn[m]	L-Palmitoylcarnitine mitochondria	C23H45NO4	0			
pail4p_hs_18_1_18_1[c]	1-Phosphatidyl-1D-myo-inositol 4-phosphate (Homo sapiens) cytosol	C9H15O12P2FULLRCO2FULLR2CO2	0			
pmtcrn[c]	L-Palmitoylcarnitine cytosol	C23H45NO4	0			
pail345p_hs_20_4_20_4[c]	"phosphatidylinositol-3,4,5-trisphosphate (Homo sapiens) cytosol"	C9H13O18P4FULLRCO2FULLR2CO2	0			
nwharg[c]	N-(omega)-Hydroxyarginine cytosol	C6H15N4O3	1			
cholp[c]	Choline phosphate cytosol	C5H13NO4P	-1			
s7p[c]	Sedoheptulose 7-phosphate cytosol	C7H13O10P	-2			
cdpdag_hs_18_2_18_2[c]	CDP diacylglycerol (homo sapiens) cytosol	C12H17N3O11P2FULLRCO2FULLR2CO2	0			
arachdcoa[m]	C20:4-CoA mitochondria	C41H62N7O17P3S	-4			
pail4p_hs_18_0_18_2[c]	1-Phosphatidyl-1D-myo-inositol 4-phosphate (Homo sapiens) cytosol	C9H15O12P2FULLRCO2FULLR2CO2	0			
peamn[c]	Phenethylamine cytosol	C8H12N	1			
pe_hs_16_0_18_1[c]	phosphatidylethanolamine (homo sapiens) cytosol	C5H12NO4PFULLRCO2FULLR2CO2	0			
dag_hs_16_0_16_0[c]	diacylglycerol (homo sapiens) cytosol	C3H6OFULLRCO2FULLR2CO2	0			
2pg[c]	D-Glycerate 2-phosphate cytosol	C3H4O7P	-3			
pchol_hs_16_0_20_4[c]	Phosphatidylcholine (homo sapiens) cytosol	C8H18NO4PFULLRCO2FULLR2CO2	0			
pac[c]	Phenylacetic acid cytosol	C8H7O2	-1			
malcoa[c]	Malonyl-CoA cytosol	C24H33N7O19P3S	-5			
inost[e]	myo-Inositol extracellular	C6H12O6	0			
pe_hs_18_1_18_2[c]	phosphatidylethanolamine (homo sapiens) cytosol	C5H12NO4PFULLRCO2FULLR2CO2	0			
inost[c]	myo-Inositol cytosol	C6H12O6	0			
focytC[m]	Ferrocytochrome C mitochondria	C42H54FeN8O6S2	2			
ocdcea[c]	octadecenoate (n-C18:1) cytosol	C18H33O2	-1			
glyc3p[c]	Glycerol 3-phosphate cytosol	C3H7O6P	-2			
glyc[c]	Glycerol cytosol	C3H8O3	0			
ura[e]	Uracil extracellular	C4H4N2O2	0			
10fthf[l]	10-Formyltetrahydrofolate lysosome	C20H21N7O7	-2			
