Metabolite name	Metabolite description	Formula	Charge			
ficytC[m]	Ferricytochrome c mitochondria	C42H54FeN8O6S2	3			
glygn3[c]	"glycogen, structure 3 (glycogenin-7[1,4-Glc]) cytosol"	C42H71O36X	0			
sphs1p[c]	Sphingosine 1-phosphate cytosol	C18H37NO5P	-1			
pail345p_hs_16_0_18_1[c]	"phosphatidylinositol-3,4,5-trisphosphate (Homo sapiens) cytosol"	C9H13O18P4FULLRCO2FULLR2CO2	0			
sphs1p[e]	Sphingosine 1-phosphate extracellular	C18H37NO5P	-1			
4nph[c]	4-Nitrophenol cytosol	C6H5NO3	0			
dag_hs_18_2_18_2[c]	diacylglycerol (homo sapiens) cytosol	C3H6OFULLRCO2FULLR2CO2	0			
trypta[c]	Tryptamine cytosol	C10H13N2	1			
asp_L[c]	L-Aspartate cytosol	C4H6NO4	-1			
amp[m]	AMP mitochondria	C10H12N5O7P	-2			
asp_L[e]	L-Aspartate extracellular	C4H6NO4	-1			
thym[e]	Thymine extracellular	C5H6N2O2	0			
air[c]	5-amino-1-(5-phospho-D-ribosyl)imidazole cytosol	C8H12N3O7P	-2			
pail45p_hs_16_0_18_0[c]	"phosphatidylinositol 4,5-bisphosphate (Homo sapiens) cytosol"	C9H14O15P3FULLRCO2FULLR2CO2	0			
thym[c]	Thymine cytosol	C5H6N2O2	0			
succ[c]	Succinate cytosol	C4H4O4	-2			
succ[e]	Succinate extracellular	C4H4O4	-2			
dag_hs_16_0_18_1[c]	"diacylglycerol (homo sapiens, C16:0, C18:1) cytosol"	C37H70O5	0			
ahcys[c]	S-Adenosyl-L-homocysteine cytosol	C14H20N6O5S	0			
succ[m]	Succinate mitochondria	C4H4O4	-2			
id3acald[c]	Indole-3-acetaldehyde cytosol	C10H9NO	0			
akg[c]	2-Oxoglutarate cytosol	C5H4O5	-2			
pa_hs_18_0_20_4[c]	"phosphatidic acid (homo sapiens,  C18:0, C20:4) cytosol"	C41H71O8P	-2			
ca2[c]	Calcium cytosol	Ca	2			
leuktrC4[r]	Leukotriene C4 ER	C30H45N3O9S	-2			
f26bp[c]	"D-Fructose 2,6-bisphosphate cytosol"	C6H10O12P2	-4			
akg[m]	2-Oxoglutarate mitochondria	C5H4O5	-2			
xylu_D[c]	D-Xylulose cytosol	C5H10O5	0			
acac[c]	Acetoacetate cytosol	C4H5O3	-1			
lpchol_hs_18_1[c]	lysophosphatidylcholine (homo sapiens) cytosol	C8H19NO5PFULLRCO2	0			
pppg9[m]	Protoporphyrinogen IX mitochondria	C34H38N4O4	-2			
arachdcrn[c]	C20:4 carnitine cytosol	C27H45NO4	0			
pchol_hs_18_0_18_2[c]	Phosphatidylcholine (homo sapiens) cytosol	C8H18NO4PFULLRCO2FULLR2CO2	0			
methf[c]	"5,10-Methenyltetrahydrofolate cytosol"	C20H20N7O6	-1			
asn_L[e]	L-Asparagine extracellular	C4H8N2O3	0			
nadph[c]	Nicotinamide adenine dinucleotide phosphate - reduced cytosol	C21H26N7O17P3	-4			
xan[c]	Xanthine cytosol	C5H4N4O2	0			
ocdca[e]	octadecanoate (n-C18:0) extracellular	C18H35O2	-1			
prostgd2[c]	Prostaglandin D2 cytosol	C20H31O5	-1			
nadph[m]	Nicotinamide adenine dinucleotide phosphate - reduced mitochondria	C21H26N7O17P3	-4			
g3p[c]	Glyceraldehyde 3-phosphate cytosol	C3H5O6P	-2			
sbt_D[c]	D-Sorbitol cytosol	C6H14O6	0			
prostgd2[e]	Prostaglandin D2 extracellular	C20H31O5	-1			
nadph[r]	Nicotinamide adenine dinucleotide phosphate - reduced ER	C21H26N7O17P3	-4			
pchol_hs_16_0_16_0[c]	Phosphatidylcholine (homo sapiens) cytosol	C8H18NO4PFULLRCO2FULLR2CO2	0			
4hoxpacd[c]	4-Hydroxyphenylacetaldehyde cytosol	C8H8O2	0			
k[c]	potassium cytosol	K	1			
ak2lgchol_hs[c]	1-alkyl 2-lysoglycerol 3-phosphocholine cytosol	C10H21O5NPFULLR	0			
k[e]	potassium extracellular	K	1			
10fthf7glu[c]	10-formyltetrahydrofolate-[Glu](7) cytosol	C50H57N13O25	-8			
ps_hs_18_2_20_4[c]	phosphatidylserine (homo sapiens) cytosol	C6H11NO6PFULLRCO2FULLR2CO2	0			
aicar[c]	5-Amino-1-(5-Phospho-D-ribosyl)imidazole-4-carboxamide cytosol	C9H13N4O8P	-2			
10fthf7glu[m]	10-formyltetrahydrofolate-[Glu](7) mitochondria	C50H57N13O25	-8			
10fthf7glu[l]	10-formyltetrahydrofolate-[Glu](7) lysosome	C50H57N13O25	-8			
ascb_L[e]	L-Ascorbate extracellular	C6H8O6	0			
msa[m]	Malonate semialdehyde mitochondria	C3H3O3	-1			
tsul[m]	Thiosulfate mitochondria	O3S2	-2			
tsul[e]	Thiosulfate extracellular	O3S2	-2			
tsul[c]	Thiosulfate cytosol	O3S2	-2			
pa_hs_16_0_18_2[c]	phosphatidic acid (homo sapiens) cytosol	C3H5O4PFULLRCO2FULLR2CO2	0			
prostgh2[r]	Prostaglandin H2 ER	C20H31O5	-1			
cit[m]	Citrate mitochondria	C6H5O7	-3			
lnlccoa[c]	linoleic coenzyme A cytosol	C39H62N7O17P3S	-4			
lnlccoa[m]	linoleic coenzyme A mitochondria	C39H62N7O17P3S	-4			
fpram[c]	2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine cytosol	C8H15N3O8P	-1			
2mbcoa[m]	2-Methylbutanoyl-CoA mitochondria	C26H40N7O17P3S	-4			
cit[c]	Citrate cytosol	C6H5O7	-3			
pchol_hs_18_1_20_4[c]	Phosphatidylcholine (homo sapiens) cytosol	C8H18NO4PFULLRCO2FULLR2CO2	0			
ru5p_D[c]	D-Ribulose 5-phosphate cytosol	C5H9O8P	-2			
pchol_hs_16_0_18_1[c]	"phosphatidylcholine (homo sapiens, C16:0, C18:1) cytosol"	C42H82NO8P	0			
fdp[c]	"D-Fructose 1,6-bisphosphate cytosol"	C6H10O12P2	-4			
dcamp[c]	"N6-(1,2-Dicarboxyethyl)-AMP cytosol"	C14H14N5O11P	-4			
urate[x]	Urate peroxisome	C5H4N4O3	0			
3pg[c]	3-Phospho-D-glycerate cytosol	C3H4O7P	-3			
2maacoa[m]	2-Methyl-3-acetoacetyl-CoA mitochondria	C26H38N7O18P3S	-4			
his_L[c]	L-Histidine cytosol	C6H9N3O2	0			
alpha_hs_16_0[c]	lysophosphatidic acid cytosol	C3H6O5PFULLRCO2	0			
aacoa[c]	Acetoacetyl-CoA cytosol	C25H36N7O18P3S	-4			
3mb2coa[m]	3-Methylbut-2-enoyl-CoA mitochondria	C26H38N7O17P3S	-4			
orn[e]	Ornithine extracellular	C5H13N2O2	1			
amp[e]	AMP extracellular	C10H12N5O7P	-2			
orn[c]	Ornithine cytosol	C5H13N2O2	1			
g3pc[c]	sn-Glycero-3-phosphocholine cytosol	C8H20NO6P	0			
ps_hs_16_0_18_1[c]	phosphatidylserine (homo sapiens) cytosol	C6H11NO6PFULLRCO2FULLR2CO2	0			
dag_hs_18_1_20_4[c]	diacylglycerol (homo sapiens) cytosol	C3H6OFULLRCO2FULLR2CO2	0			
orn[m]	Ornithine mitochondria	C5H13N2O2	1			
pe_hs_18_0_18_1[c]	phosphatidylethanolamine (homo sapiens) cytosol	C5H12NO4PFULLRCO2FULLR2CO2	0			
pail34p_hs_16_0_16_0[c]	"phosphatidylinositol-3,4-bisphosphate (Homo sapiens) cytosol"	C9H14O15P3FULLRCO2FULLR2CO2	0			
aacoa[m]	Acetoacetyl-CoA mitochondria	C25H36N7O18P3S	-4			
pa_hs_18_0_18_1[c]	phosphatidic acid (homo sapiens) cytosol	C3H5O4PFULLRCO2FULLR2CO2	0			
cdpdag_hs_18_0_18_0[c]	CDP diacylglycerol (homo sapiens) cytosol	C12H17N3O11P2FULLRCO2FULLR2CO2	0			
2oxoadp[c]	2-Oxoadipate cytosol	C6H6O5	-2			
aps[c]	Adenosine 5'-phosphosulfate cytosol	C10H12N5O10PS	-2			
pchol_hs_20_4_20_4[c]	Phosphatidylcholine (homo sapiens) cytosol	C8H18NO4PFULLRCO2FULLR2CO2	0			
2oxoadp[m]	2-Oxoadipate mitochondria	C6H6O5	-2			
gsn[c]	Guanosine cytosol	C10H13N5O5	0			
pail_hs_18_1_18_2[c]	phosphatidylinositol (homo sapiens) cytosol	C9H16O9PFULLRCO2FULLR2CO2	0			
pe_hs_18_0_18_0[c]	phosphatidylethanolamine (homo sapiens) cytosol	C5H12NO4PFULLRCO2FULLR2CO2	0			
so3[m]	Sulfite mitochondria	O3S	-2			
argsuc[c]	N(omega)-(L-Arginino)succinate cytosol	C10H17N4O6	-1			
cdpdag_hs_18_0_18_2[c]	CDP diacylglycerol (homo sapiens) cytosol	C12H17N3O11P2FULLRCO2FULLR2CO2	0			
odecrn[m]	octadecenoyl carnitine mitochondria	C25H47NO4	0			
xylu_L[c]	L-Xylulose cytosol	C5H10O5	0			
odecrn[c]	octadecenoyl carnitine cytosol	C25H47NO4	0			
